SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
3.29E+07,2.33E+08,480.67,3177,0.5,0,0.54
3.27E+07,2.23E+08,480.67,3144,0.5,0,0.54
3.22E+07,2.23E+08,480.67,3054,0.5,0,0.54
3.13E+07,2.21E+08,480.67,3056,0.5,0,0.54
3.12E+07,2.14E+08,480.67,3071,0.5,0,0.54
3.14E+07,2.17E+08,480.67,3092,0.5,0,0.54
3.08E+07,2.14E+08,480.67,3160,0.5,0,0.54
3.15E+07,2.12E+08,480.67,3173,0.5,0,0.54
3.21E+07,2.07E+08,480.67,3134,0.5,0,0.54
3.22E+07,2.12E+08,480.67,3097,0.5,0,0.54
3.17E+07,2.14E+08,480.67,3098,0.5,0,0.54
3.17E+07,2.13E+08,480.67,3122,0.5,0,0.54
3.20E+07,2.13E+08,480.67,3178,0.5,0,0.54
3.22E+07,2.15E+08,480.67,3164,0.5,0,0.54
3.20E+07,2.23E+08,480.67,3129,0.5,0,0.54
3.16E+07,2.10E+08,480.67,3104,0.5,0,0.54
3.14E+07,2.13E+08,480.67,3116,0.5,0,0.54
3.09E+07,2.09E+08,480.67,3044,0.5,0,0.54
3.13E+07,2.10E+08,480.67,3041,0.5,0,0.54
3.17E+07,2.19E+08,480.67,3043,0.5,0,0.54
3.13E+07,2.17E+08,480.67,3051,0.5,0,0.54
3.12E+07,2.14E+08,480.67,3100,0.5,0,0.54
3.07E+07,2.09E+08,480.67,3087,0.5,0,0.54
3.15E+07,2.11E+08,480.67,3109,0.5,0,0.54
3.17E+07,2.07E+08,480.67,3110,0.5,0,0.54
3.18E+07,2.08E+08,480.67,3092,0.5,0,0.54
3.16E+07,2.19E+08,480.67,3029,0.5,0,0.54
3.12E+07,2.21E+08,480.67,2974,0.5,0,0.54
3.02E+07,2.21E+08,480.67,3039,0.5,0,0.54
2.91E+07,2.13E+08,480.67,3058,0.5,0,0.54
2.96E+07,2.12E+08,480.67,3089,0.5,0,0.54
3.05E+07,2.17E+08,480.67,3095,0.5,0,0.54
3.11E+07,2.14E+08,480.67,3053,0.5,0,0.54
3.17E+07,2.11E+08,480.67,3109,0.5,0,0.54
3.16E+07,2.07E+08,480.67,3065,0.5,0,0.54
3.18E+07,2.10E+08,480.67,3056,0.5,0,0.54
3.17E+07,2.05E+08,480.67,2999,0.5,0,0.54
