SumBiomass,Lp50_pop,age_mat_pop,num_pop,Finput,CVg,Gamma
3.12E+06,238.67,1.9481,3222,0.5,0,0.54
3.06E+06,238.67,1.9411,3240,0.5,0,0.54
3.09E+06,238.67,1.9545,3198,0.5,0,0.54
3.15E+06,238.67,1.9361,3121,0.5,0,0.54
3.14E+06,238.67,1.9275,3169,0.5,0,0.54
3.20E+06,238.67,1.9393,3136,0.5,0,0.54
3.27E+06,238.67,1.9352,3261,0.5,0,0.54
3.35E+06,238.67,1.9245,3237,0.5,0,0.54
3.37E+06,238.67,1.9217,3203,0.5,0,0.54
3.20E+06,238.67,1.9236,3144,0.5,0,0.54
3.22E+06,238.67,1.9097,3192,0.5,0,0.54
3.31E+06,238.67,1.9036,3243,0.5,0,0.54
3.29E+06,238.67,1.9092,3216,0.5,0,0.54
3.27E+06,238.67,1.9183,3251,0.5,0,0.54
3.36E+06,238.67,1.9177,3269,0.5,0,0.54
3.34E+06,238.67,1.9116,3254,0.5,0,0.54
3.36E+06,238.67,1.9247,3249,0.5,0,0.54
3.40E+06,238.67,1.9228,3285,0.5,0,0.54
3.38E+06,238.67,1.9326,3263,0.5,0,0.54
3.45E+06,238.67,1.9236,3253,0.5,0,0.54
3.37E+06,238.67,1.9178,3265,0.5,0,0.54
3.40E+06,238.67,1.9168,3196,0.5,0,0.54
3.41E+06,238.67,1.9131,3276,0.5,0,0.54
3.48E+06,238.67,1.9034,3279,0.5,0,0.54
3.47E+06,238.67,1.8985,3193,0.5,0,0.54
3.34E+06,238.67,1.908,3257,0.5,0,0.54
3.35E+06,238.67,1.9164,3250,0.5,0,0.54
3.36E+06,238.67,1.9167,3201,0.5,0,0.54
3.24E+06,238.67,1.9202,3144,0.5,0,0.54
3.35E+06,238.67,1.9176,3148,0.5,0,0.54
3.30E+06,238.67,1.9125,3128,0.5,0,0.54
3.30E+06,238.67,1.9187,3088,0.5,0,0.54
3.32E+06,238.67,1.9048,3129,0.5,0,0.54
3.28E+06,238.67,1.9122,3157,0.5,0,0.54
3.26E+06,238.67,1.9086,3105,0.5,0,0.54
3.14E+06,238.67,1.9078,3213,0.5,0,0.54
3.24E+06,238.67,1.9162,3228,0.5,0,0.54
3.29E+06,238.67,1.9238,3205,0.5,0,0.54
